Index,Node ID 1,Node Name V1,Node ID 2,Node Name V2,,Nodes Added,
1,V1_1,Access to data from other entities,#N/A,NA,FALSE,Adoption of technology,
2,V1_2,Actual misuse of data,V2_18,Events of data misuse,FALSE,Amount of hoaded data,
3,V1_3,Allocating funding for public services,V2_36,Optimised allocation of funding to public services,FALSE,Availability of services,
4,V1_4,Amount of data retained by private enterprises,#N/A,Data retained by private entites,FALSE,Commodification of data,
5,V1_5,Amount of urban data retained by private entities,#N/A,Data retained by private entites,FALSE,Competitive market,
6,V1_6,Amount of urban data retained by public entities,V2_10,Data retained by city council,FALSE,Data analytics models,
7,V1_7,Anonymity,V2_27,Likelihood of privacy violation,FALSE,Data collection by law enforcement,
8,V1_8,Biased and discriminatory outcomes that reinforce historical and social inequalities in race and class,V2_15,Discrimination against marginalised communities,FALSE,Data retained by city council,
9,V1_9,Citizen awareness of data collection,V2_22,Level of citizen awareness,FALSE,Data retained by private entites,
10,V1_10,Citizen buy-in,V2_23,Level of citizen sensitisation,FALSE,Data subject interventions,
11,V1_11,Citizen desensitisation to data collection,V2_23,Level of citizen sensitisation,FALSE,Data use by law enforcement,
12,V1_12,Citizen privacy concern,V2_44,Privacy concerns,FALSE,Degree of techno-solutionism,
13,V1_13,Collection of data by law enforcement,V2_9,Data collection by law enforcement,FALSE,Discrimination against marginalised communities,
14,V1_14,Commercial value of data,V2_4,Commercial value of data,TRUE,Empowerment of vulnerable groups,
15,V1_15,Commercialisation of data,V2_6,Commodification of data,FALSE,Engagement with reward systems,
16,V1_16,Corporate data practices,#N/A,NA,FALSE,Events of data misuse,
17,V1_17,Corporate profits,V2_45,Private sector revenue,FALSE,Fulfillment of citizens' needs,
18,V1_18,Data leakage,V2_42,Possibility of data leakage,FALSE,Investment in technology,
19,V1_19,Data used by law enforcement,V2_13,Data use by law enforcement,FALSE,Level of citizen sensitisation,
20,V1_20,Empowerment of vulnerable groups,V2_16,Empowerment of vulnerable groups,TRUE,Relative level of convenience achieved by reproducing the status quo,
21,V1_21,Enforcement of people-centred data related regulations,V2_25,Level of regulation,FALSE,Likelihood of privacy violation,
22,V1_22,Engagement with public transport,V2_66,Use of urban services,FALSE,Likelihood of using data for public good,
23,V1_23,Ensuring citizens interests,V2_19,Fulfillment of citizens' needs,FALSE,Number of exepmtions allowing law enforcement to access data from other entities in different Australian acts,
24,V1_24,Exemptions in different acts,V2_33,Number of exepmtions allowing law enforcement to access data from other entities in different Australian acts,FALSE,Number of people concerned about crime,
25,V1_25,Government data use capacity,V2_50,Public sector expertise,FALSE,Optimised allocation of funding to public services,
26,V1_26,Hiring consultants,V2_57,Recruitment of consultancy firms,FALSE,People's sense of freedom to move in public spaces,
27,V1_27,Hoarding data,V2_2,Amount of horaded data,FALSE,Perceived level of technological convenience,
28,V1_28,Imagined fear of data misuse,V2_40,Perceived misuse of data,FALSE,Perceived misuse of data,
29,V1_29,Investment in services,V2_20,Investment in services,TRUE,Private sector revenue,
30,V1_30,Legal permission to use data (Identify and Disrupt Act),V2_33,Number of exepmtions allowing law enforcement to access data from other entities in different Australian acts,FALSE,Private-public partnerships,
31,V1_31,Legal regulation,V2_25,Level of regulation,FALSE,Privatisation of urban services,
32,V1_32,Level of technology advancement,V2_26,Level of technological advancement,FALSE,Promotion of pro-private data collection schemes,
33,V1_33,Lobby by private interests,V2_29,Lobbying,FALSE,Protests,
34,V1_34,Lobbying,V2_29,Lobbying,TRUE,Public sector intervention,
35,V1_35,Money donations to public entities,V2_29,Lobbying,FALSE,Reactive data-driven policing,
36,V1_36,Need for data insights in government,V2_30,Need for data insights in government,TRUE,Recruitment of consultancy firms,
37,V1_37,Need for profit,V2_31,Need for profit,TRUE,Social expectations for law enforcement to be using data to better police,
38,V1_38,Need for services,V2_32,Need for services,TRUE,Social inequalities,
39,V1_39,On-selling of de-identified data,V2_6,Commodification of data,FALSE,State surveillance,
40,V1_40,Optimising services,V2_35,Optimisation of services,FALSE,Targeted advertising,
41,V1_41,Pedestrian data models,V2_8,Data analytics models,FALSE,Transparency of data collection and use,
42,V1_42,Penalty,V2_37,Penalties,FALSE,Use of off-the-shelf tech products by city council,
43,V1_43,People's concerns about crime,V2_34,Number of people concerned about crime,FALSE,Use of social media,
44,V1_44,"People's sense of being able to move in public spaces, protest. etc.",V2_38,People's sense of freedom to move in public spaces,FALSE,Use of urban services,
45,V1_45,Pop-culture,V2_41,Pop-culture,TRUE,,
46,V1_46,Predictive policing,V2_43,Predictive policing,TRUE,,
47,V1_47,Privacy concerns,V2_44,Privacy concerns,TRUE,,
48,V1_48,Private sector revenue,V2_45,Private sector revenue,TRUE,,
49,V1_49,Privatisation of urban data,V2_11,Data retained by private entities,FALSE,,
50,V1_50,Privatised transport services,V2_47,Privatisation of urban services,FALSE,,
51,V1_51,Profit,V2_45,Private sector revenue,FALSE,,
52,V1_52,Pro-private sector data structures,V2_48,Promotion of pro-private data collection schemes,FALSE,,
53,V1_53,Protection of the most vulnerable,#N/A,NA,FALSE,,
54,V1_54,Providing consumer wants and needs,V2_19,Fulfillment of citizens' needs,FALSE,,
55,V1_55,Public good uses of data,V2_28,Likelihood of using data for public good,FALSE,,
56,V1_56,Public policy tech sector intervention,V2_52,Public sector intervention,FALSE,,
57,V1_57,Public sector expertise,V2_50,Public sector expertise,TRUE,,
58,V1_58,Public service funding,V2_51,Public sector funding,FALSE,,
59,V1_59,Quality and availability of urban services,V2_54,Quality of services,FALSE,,turned into 2 variables
60,V1_60,Quality of life,V2_53,Quality of life,TRUE,,
61,V1_61,Quality of services,V2_54,Quality of services,TRUE,,
62,V1_62,Rate of tech innovation,V2_26,Level of technological advancement,FALSE,,
63,V1_63,Rate of technological innovation,V2_26,Level of technological advancement,FALSE,,
64,V1_64,Reactive policing,V2_55,Reactive data-driven policing,FALSE,,
65,V1_65,Regulation,V2_25,Level of regulation,FALSE,,
66,V1_66,Reward systems,V2_17,Engagement with reward systems,FALSE,,
67,V1_67,Security risks,V2_58,Security risks,TRUE,,
68,V1_68,"Service efficiency, coverage, and performance",V2_54,Quality of services,FALSE,,
69,V1_69,Social and political expectations for law enforcement to be using data and technologies to better police,V2_59,Social expectations for law enforcement to be using data to better police,FALSE,,
70,V1_70,Social media,V2_65,Use of social media,FALSE,,
71,V1_71,Speculation of data as a commodity,V2_6,Commodification of data,FALSE,,
72,V1_72,State surveillance,V2_61,State surveillance,TRUE,,
73,V1_73,Targeted advertising,V2_62,Targeted advertising,TRUE,,
74,V1_74,Tech investment,V2_21,Investment in technology,FALSE,,
75,V1_75,Technological convenience,V2_39,Perceived level of technological convenience,FALSE,,
76,V1_76,Technological innovation in data use,V2_26,Level of technological advancement,FALSE,,
77,V1_77,Technology adoption,V2_1,Adoption of technology,FALSE,,
78,V1_78,Techno-solutionism,V2_14,Degree of techno-solutionism,FALSE,,
79,V1_79,Transparency of data collection and use,V2_63,Transparency of data collection and use,TRUE,,
80,V1_80,Trust by people,V2_23,Level of citizen sensitisation,FALSE,,
81,V1_81,Undermining of human rights,V2_56,Realisation of human rights,FALSE,,
82,V1_82,Violation of contextual integrity,V2_27,Likelihood of privacy violation,FALSE,,
83,V1_83,"Wellbeing, livelihood, and safety",V2_53,Quality of life,FALSE,,
84,V1_84,Regulations,V2_25,Level of regulation,,,
85,V1_85,Awareness,V2_22,Level of citizen awareness,,,
86,V1_86,Opportunity to gain power,#N/A,NA,,,
87,V1_87,Embeddedness of data collection processes in daily lives,V2_70,Embeddedness of digital infrastructures,,,
88,V1_88,Need to achieve efficiency,V2_76,Need to achieve efficiency,,,
89,V1_89,Degree of neoliberalism,V2_73,Degree of neoliberalism,,,
90,V1_90,Technology,V2_26,Level of technological advancement,,,
91,V1_91,People's perception of human connectedness,V2_72,Degree to which people perceive digital connectedness to equate to human connectedness,,,
92,V1_92,Human curiosity,V2_75,Human curiosity,,,
93,V1_93,Disinformation,V2_82,Disinformation,,,
94,V1_94,Empowerment of already powerful actors (e.g. Big Tech),V2_80,Big Tech's market cap,,,
95,V1_95,Degree of control over people,V2_83,Human autonomy,,,
96,V1_96,Collective action,V2_79,Collective action,,,
97,V1_97,(dis)empowerment of individuals/groups,V2_16,Empowerment of vulnerable groups,,,
98,V1_98,Economic equality,V2_81,Economic equality,,,
99,V1_99,Ethical political discourse,#N/A,NA,,,
100,V1_100,Individualism ,V2_74,Individualism,,,
101,V1_101,Nefarious use of data ,V2_78,Likelihood of using data nefariously,,,
102,V1_102,Data disposal,V2_71,Level of decision-maker awareness,,,
103,V1_103,Tendency to go digital,V2_70,Embeddedness of digital infrastructures,,,
104,V1_104,Need for customised user experience,V2_94,Customised user experience,,,
105,V1_105,Data sharing between entities,V2_87,Data sharing between entities,,,
106,V1_106,Need for insights about customers,V2_88,Need for insights about customers,,,
107,V1_107,Business model based on data monetisation,V2_6,Commodification of data,,,
108,V1_108,Privacy breaches,V2_27,Likelihood of privacy violation,,,
109,V1_109,Cost of data storage technology,V2_90,Cost of data storage technology,,,
110,V1_110,Cost-cutting,V2_77,Cost-cutting,,,
111,V1_111,Faster delivery services,V2_76,Need to achieve efficiency,,,
112,V1_112,Partnering with other entities to provide bundle services,V2_91,Partnering with other entities to provide bundle services,,,
113,V1_113,Expanding products/ services offering,V2_92,Expansion of service offering,,,
114,V1_114,Onset of new technologies,V2_93,Onset of new technologies,,,
115,V1_115,Data retained by private entities,V2_11,Data retained by private entities,,,
116,V1_116,Quality of services,V2_54,Quality of services,,,
117,V1_117,Opportunities for data monetisation,V2_6,Commodification of data,,,
118,V1_118,Tampering political systems,V2_85,Tampering political systems,,,
119,V1_119,Undesignated use of data,V2_95,Undesignated use of data,,,
120,V1_120,Timesaving,V2_39,Perceived level of technological convenience,,,
121,V1_121,Consumerism,V2_97,Consumerism,,,
122,V1_122,Ease of access to my data as a user,V2_96,Ease of access to my data as a user,,,
123,V1_123,Connectedness through virtual environments,#N/A,NA,,,
124,V1_124,Trust in service providers,V2_23,Level of citizen sensitisation,,,
125,V1_125,Justice,V2_56,Realisation of human rights,,,
126,V1_126,Polls or surveys from citizens to decide how and where to provide community resources,V2_99,City-led data collection schemes,,,
127,V1_127,Need for information to develop and maintain the city/urban environment,V2_30,Need for data insights in government,,,
128,V1_128,Surveillance of the community,V2_100,City-led use of surveillance technologies,,,
129,V1_129,A desire / imperative to serve the community; this is literally the city council's entire role,#N/A,NA,,,
130,V1_130,Fighting /reducing criminal activity,V2_101,Need to reduce criminal activity,,,
131,V1_131,Amount of data retained with city council,V2_10,Data retained by city council,,,
132,V1_132,City can aggregate data to make decisions about infrastructure,V2_108,Optimisation of urban infrastructures,,,
133,V1_133,Data is stored as historical data for future comparisons,#N/A,NA,,,
134,V1_134,Data is (hopefully) appropriately access-controlled to protect the privacy of individuals,V2_27,Likelihood of privacy violation,,,
135,V1_135,"Data is aggregated and de-identified where appropriate, again to preserve individual privacy, while also remaining useful for its intended collection purpose",V2_102,Aggregation of data,,,
136,V1_136,Data is (hopefully) kept for only as long as is required before being securely erased,V2_86,Data disposal,,,